UUID,Automotive,Ent,Finance,Games,Health,Hobbies,Life,News,Parent,Property,Sports,Tech,Travel,Women
uuid_00057,0,0.9205298,0.00220751,0,0.03311258,0.00441501,0.00662252,0.00883002,0,0,0,0.02428256,0,0
uuid_00058,0,0.69,0,0,0,0,0,0,0,0,0,0,0.3,0.01
uuid_00059,0,0.00210526,0,0.95368421,0,0,0.00210526,0,0,0,0,0.04210526,0,0
uuid_00060,0,0,0.97297297,0,0,0,0,0.02702703,0,0,0,0,0,0
uuid_00061,0.0026178,0.12041885,0,0.01832461,0,0.0052356,0.02356021,0.07329843,0.0026178,0.0078534,0.61780105,0.03141361,0.02094241,0.07591623
uuid_00062,0.00202634,0.00101317,0.00405268,0,0.00202634,0,0,0,0,0,0,0.91793313,0.07294833,0
uuid_00063,0,0.03703704,0,0.07407407,0,0.23842593,0.0162037,0.01388889,0.00462963,0,0.1087963,0.50694444,0,0
uuid_00064,0,0.66666667,0,0,0,0,0,0.16666667,0,0,0,0.16666667,0,0
uuid_00065,0.00452489,0.13122172,0.0361991,0,0,0.47058824,0.07239819,0.05429864,0,0.00452489,0.14479638,0.07239819,0.00452489,0.00452489
uuid_00066,0.00502513,0,0,0,0,0,0,0,0,0,0,0.99497487,0,0
uuid_00067,0.03197158,0.07104796,0.12611012,0,0,0.02486679,0.09236234,0.10124334,0.0035524,0.53818828,0,0.01065719,0,0
uuid_00068,0.01144165,0,0.15560641,0,0.02059497,0.00228833,0,0.06636156,0.02974828,0.09839817,0.00228833,0.55148741,0.0389016,0.0228833
uuid_00069,0.01229508,0.33811475,0,0,0,0,0,0,0,0,0.03278689,0.61680328,0,0
uuid_00070,0,0,0,0,0,0,0.00414365,0,0,0,0,0.99585635,0,0
uuid_00071,0,0.55447942,0,0.01452785,0,0,0.00484262,0,0.00726392,0,0.13559322,0.00484262,0.23728814,0.04116223
uuid_00072,0.49415205,0.05263158,0.01461988,0,0,0,0,0.05555556,0,0.21637427,0.00584795,0.1374269,0,0.02339181
uuid_00073,0,0,0,0,0,0,0,0.8,0,0,0,0.2,0,0
uuid_00074,0,0.01442803,0.97389213,0,0,0,0.00034352,0.01133631,0,0,0,0,0,0
uuid_00075,0,0.06150342,0,0.0022779,0,0.02277904,0.0022779,0.23690205,0,0,0.16856492,0.50341686,0,0.0022779
uuid_00076,0,0.00121065,0,0,0,0,0.00605327,0,0,0,0,0.99031477,0,0.00242131
uuid_00077,0.00381679,0.043257,0.00254453,0.00254453,0,0,0.01145038,0.00890585,0.00127226,0.00127226,0,0.84478372,0.07124682,0.00890585
uuid_00078,0,0,0,0,0,1,0,0,0,0,0,0,0,0
uuid_00079,0.00925926,0.26851852,0.01388889,0,0,0.00694444,0.00231481,0.01157407,0,0.00231481,0.00231481,0.16666667,0.5162037,0
uuid_00080,0,0.00142857,0,0.99857143,0,0,0,0,0,0,0,0,0,0
uuid_00081,0,0,0,0.96267191,0,0,0,0,0.00392927,0,0,0.03143418,0,0.00196464
uuid_00082,0.69298246,0.05263158,0,0,0,0,0,0,0,0,0,0.25438596,0,0
uuid_00083,0,0.00694444,0,0,0,0,0.72685185,0.00925926,0,0,0,0.00810185,0.24768519,0.00115741
uuid_00084,0,1,0,0,0,0,0,0,0,0,0,0,0,0
uuid_00085,0,0.00591716,0.00169062,0,0,0.00084531,0.00084531,0.80980558,0,0,0,0.18005072,0,0.00084531
uuid_00086,0,0.225,0.00384615,0.73653846,0,0,0.01730769,0,0.01153846,0,0,0.00192308,0,0.00384615
uuid_00087,0,0.0625,0.0625,0,0,0,0.25,0.5625,0,0,0,0.0625,0,0
uuid_00088,0,0.01845638,0.96308725,0,0,0,0,0,0,0,0,0,0.01845638,0
uuid_00089,0,0,0,0,0,0,0,0,0,0,0,1,0,0
uuid_00090,0,0,0.04173913,0,0,0,0,0,0,0,0,0.95826087,0,0
uuid_00091,0,0.30769231,0.32307692,0.01538462,0,0.24615385,0.03076923,0.03076923,0.01538462,0,0,0,0,0.03076923
uuid_00092,0,0.15686275,0,0.05882353,0,0.00392157,0,0.01176471,0.03137255,0,0.50980392,0,0.15294118,0.0745098
uuid_00093,0,0.9246988,0,0,0,0,0,0.07329317,0,0,0,0,0,0.00200803
uuid_00094,0,0.26721763,0.01101928,0,0,0.06060606,0.49311295,0.05509642,0,0.0137741,0,0.00275482,0.09090909,0.00550964
uuid_00095,0.00658979,0.00494234,0.10873147,0,0.00988468,0,0,0.84019769,0.00329489,0.00329489,0,0.00329489,0.01482702,0.00494234
uuid_00096,0.13090909,0.45090909,0.09454545,0,0,0.00727273,0.06545455,0.10909091,0.00363636,0.12363636,0,0,0,0.01454545
uuid_00097,0.0608,0,0,0,0,0,0,0,0,0,0.0064,0.9248,0.008,0
uuid_00098,0.01359703,0.02843016,0,0,0,0,0.89245983,0.00618047,0,0,0,0.02410383,0.03522868,0
uuid_00099,0,0,0,0,0,0,0,0,0,0,0,1,0,0
uuid_00100,0,0,0,0,0,0,0,0.07189542,0,0.63398693,0,0.04575163,0.04575163,0.20261438
uuid_00101,0,0.7,0.00588235,0,0,0,0.04705882,0,0.1,0,0,0.04705882,0.05882353,0.04117647
uuid_00102,0,0.18831169,0,0.27272727,0,0.01298701,0.2012987,0.00649351,0,0,0.27272727,0.04545455,0,0
uuid_00103,0,0.1800554,0,0,0,0,0.00831025,0,0,0,0,0.80886427,0.00277008,0
uuid_00104,0.00025957,0.00428293,0.97300454,0,0,0.00012979,0.00415315,0.0009085,0,0.00012979,0.00064893,0.01570409,0.00012979,0.00064893
uuid_00105,0,0.225,0,0,0,0,0.0375,0.3,0.025,0,0,0.0125,0.4,0
uuid_00106,0,0,0.15384615,0,0,0,0.76923077,0.07692308,0,0,0,0,0,0
uuid_00107,0,0.00707965,0,0,0,0.94690265,0.03539823,0.00176991,0,0,0,0.00707965,0,0.00176991
uuid_00108,0,0.00462487,0.00924974,0,0,0,0,0.00719424,0,0.97893114,0,0,0,0
uuid_00109,0,0,0,0,0,1,0,0,0,0,0,0,0,0
uuid_00110,0,0.1352459,0,0,0,0,0.01229508,0.21721311,0,0,0.44262295,0.19262295,0,0
uuid_00111,0,0.08292683,0,0.00487805,0,0.87317073,0.00487805,0.02439024,0.0097561,0,0,0,0,0
uuid_00112,0,0.00636943,0,0.04458599,0,0.26751592,0.00636943,0,0,0,0,0.67515924,0,0
uuid_00113,0.00348432,0.01393728,0.24390244,0,0.00348432,0,0.04181185,0.29616725,0,0.13937282,0.16027875,0.02439024,0.06620209,0.00696864
uuid_00114,0.0445269,0.48794063,0.32096475,0.00556586,0,0.00742115,0.05565863,0.03896104,0.00185529,0.00927644,0.00927644,0.00927644,0.00927644,0
uuid_00115,0,1,0,0,0,0,0,0,0,0,0,0,0,0
uuid_00116,0.00621547,0.07941989,0.00069061,0.00138122,0,0.02417127,0.88190608,0.00345304,0,0.00138122,0,0,0.00069061,0.00069061
uuid_00117,0,0.14883721,0.00465116,0,0,0,0.01395349,0,0,0.23255814,0.00930233,0,0.22325581,0.36744186
uuid_00118,0.0011274,0.99549042,0,0,0,0.0011274,0,0.00225479,0,0,0,0,0,0
uuid_00119,0,0,0,0.70913462,0,0.00240385,0,0.00240385,0,0,0,0.28605769,0,0
uuid_00120,0.00031797,0.99109698,0.00699523,0,0,0,0,0.00158983,0,0,0,0,0,0
uuid_00121,0,0.01129944,0.15254237,0,0,0,0.05838041,0.0094162,0,0,0.05838041,0.03766478,0.67043315,0.00188324
uuid_00122,0,0,0,0.03191489,0,0.7606383,0.19148936,0,0,0,0,0.0106383,0,0.00531915
uuid_00123,0.13899614,0.07335907,0.00965251,0.0019305,0,0.1023166,0.16988417,0.26640927,0,0.003861,0.10617761,0.00579151,0.11776062,0.003861
uuid_00124,0,0.15686275,0.09803922,0,0,0,0,0.74509804,0,0,0,0,0,0
uuid_00125,0.00405954,0.00135318,0.95128552,0,0.00135318,0,0.00270636,0.00541272,0.00405954,0,0,0,0.00541272,0.02435724
uuid_00126,0,0.02908012,0.96676558,0,0,0,0.00237389,0.00059347,0,0,0,0,0,0.00118694
uuid_00127,0,0.01494253,0.68390805,0,0,0,0.00632184,0.14022989,0,0.01206897,0.00804598,0.13390805,0,0.00057471
uuid_00128,0,0.02247191,0,0.6741573,0,0.04494382,0.23876404,0.01966292,0,0,0,0,0,0
uuid_00129,0,0,0,0,0,0,0.97959184,0.00255102,0,0,0,0.01785714,0,0
uuid_00130,0,0.00179211,0,0.99462366,0,0,0,0.00358423,0,0,0,0,0,0
uuid_00131,0,0.04059041,0,0.00738007,0,0,0,0.00369004,0,0,0,0.94464945,0,0.00369004
uuid_00132,0.04285714,0.08,0.18,0,0.03428571,0,0,0.54571429,0.05714286,0,0,0,0.03714286,0.02285714
uuid_00133,0.00130719,0.14379085,0,0,0,0.00522876,0.00915033,0.09281046,0,0,0.6745098,0.03267974,0.03660131,0.00392157
uuid_00134,0.06212425,0.0260521,0.41683367,0.00701403,0.08316633,0.001002,0.001002,0.15130261,0.08116232,0,0.001002,0,0.07915832,0.09018036
uuid_00135,0,0.03448276,0.15618661,0.80730223,0,0,0,0,0,0,0,0.0020284,0,0
uuid_00136,0,0.14814815,0.31481481,0,0,0,0,0.53703704,0,0,0,0,0,0
uuid_00137,0,0.64691358,0,0.25185185,0,0.00246914,0.07160494,0.00740741,0,0,0,0.01975309,0,0
uuid_00138,0.02263374,0.00411523,0,0,0,0,0.96399177,0.00102881,0,0,0,0.00823045,0,0
uuid_00139,0,0.00036617,0.00036617,0.00036617,0,0,0,0,0,0,0.0010985,0.97949469,0.01830831,0
uuid_00140,0,0,0,0.00273973,0,0.99726027,0,0,0,0,0,0,0,0
uuid_00141,0,0.00121065,0,0.00121065,0,0.031477,0.0157385,0,0,0,0.02300242,0.92493947,0.00242131,0
uuid_00142,0,0.82352941,0,0,0,0,0,0.17647059,0,0,0,0,0,0
uuid_00143,0.01304348,0.02173913,0.1826087,0.00434783,0,0,0.0173913,0.14347826,0.01304348,0.26956522,0.00869565,0.24347826,0,0.0826087
uuid_00144,0,0.27096774,0,0.27741935,0,0.39677419,0,0.00322581,0,0,0,0.01290323,0,0.03870968
uuid_00145,0,0.0027027,0,0,0.0027027,0.0027027,0,0,0,0,0,0.98918919,0.0027027,0
uuid_00146,0,0,0,0.01724138,0,0,0.09482759,0,0,0.31896552,0.01724138,0.5,0.05172414,0
uuid_00147,0.08486239,0.02293578,0,0.88073394,0,0,0,0.00458716,0,0,0,0.00688073,0,0
uuid_00148,0,0.06432749,0,0,0,0.00584795,0,0.03508772,0,0,0.02339181,0.87134503,0,0
uuid_00149,0.00277932,0.02723735,0,0,0,0.00055586,0.95330739,0.00444691,0,0.00055586,0.00500278,0.00500278,0,0.00111173
uuid_00150,0,0.84615385,0,0,0,0,0,0,0,0,0,0,0,0.15384615
uuid_00151,0.00802005,0.00050125,0.00050125,0,0.00150376,0.00300752,0.96441103,0.00451128,0,0,0.01102757,0.00050125,0.00501253,0.00100251
uuid_00152,0,0.0019305,0,0.72586873,0,0,0,0.0019305,0,0,0,0.27027027,0,0
uuid_00153,0,0.01478743,0,0,0,0,0,0.00184843,0,0,0.00184843,0.98151571,0,0
uuid_00154,0,0.00645161,0,0,0,0.20645161,0.13548387,0.03870968,0,0,0.29032258,0.31612903,0.00645161,0
uuid_00155,0,1,0,0,0,0,0,0,0,0,0,0,0,0
uuid_00156,0,0.00336323,0,0,0,0,0.00560538,0.99103139,0,0,0,0,0,0
uuid_00157,0,0.00068166,0.0074983,0,0,0,0,0,0,0.0334015,0,0.95841854,0,0
uuid_00158,0.02647754,0.10543735,0.01371158,0.01040189,0.00945626,0.00520095,0.41276596,0.04822695,0.00330969,0,0.34089835,0.00567376,0.0108747,0.00756501
uuid_00159,0,0.06273063,0.00369004,0,0,0.90774908,0.00738007,0,0.00738007,0,0.00369004,0.00738007,0,0
uuid_00160,0,0.03194888,0.00638978,0.00319489,0,0.00638978,0.03833866,0.00638978,0,0.00319489,0.06070288,0.8370607,0,0.00638978
uuid_00161,0,0.44425386,0,0.03773585,0,0.19382504,0.16466552,0.00171527,0,0,0,0.10463122,0.00343053,0.04974271
uuid_00162,0,0.02702703,0,0.97297297,0,0,0,0,0,0,0,0,0,0
uuid_00163,0.0028169,0.97746479,0,0,0,0.0028169,0,0.0028169,0,0.01126761,0,0,0.0028169,0
uuid_00164,0.00723327,0.43399638,0,0,0,0.22965642,0.01446655,0.00723327,0,0.00542495,0.05605787,0.21518987,0.03074141,0
uuid_00165,0.02188184,0.00437637,0,0,0,0.00656455,0,0,0,0,0,0.96717724,0,0
uuid_00166,0.03155911,0,0,0,0,0,0.91804051,0.00282619,0,0,0.03768252,0.0075365,0,0.00235516
uuid_00167,0,0,0,0,0,0,0,0,0.00160514,0,0,0.99518459,0,0.00321027
uuid_00168,0.02739726,0.00391389,0.00587084,0.00195695,0,0.00391389,0.00782779,0.01761252,0,0.00195695,0.00978474,0.91780822,0,0.00195695
